16876,1
41667,2
87814,447
144054,4
175757,4
190438,1
206445,2
273352,15
273867,684
283426,2
323413,3
380861,2505
396331,4591
434603,50512
471989,1
484656,1
488673,1109
522061,1
524794,6
550524,6308
589000,9308
754822,5
757537,15
779658,3
790589,1032
795437,1
814392,1
842186,2
850450,11649
869334,9516
945563,2
965852,1
1076519,6
1177777,316
1240292,2
1250459,2
1272038,1
1325634,5
1455265,1110
1497612,1
1525498,3
1609168,4201
1698012,1
1722913,4068
1741956,2
1743575,16
1799851,4807
1807945,1
1844219,6
1862401,792
1879281,1
1897053,7
1949440,2236
2004500,5
2016381,1
2039315,1
2075120,35
2096110,2
2131133,22
2183342,2
2259258,1
2463261,165
2502631,12
2519385,10
2577564,1
2586515,57310
2607560,1
2652432,3
2687997,1
2750859,338
2757513,1
2767725,3
2796374,2
2804960,3
2805513,3
3009225,76
3074430,109
3159819,3
3174390,2
3187268,2834
3439503,3
3620540,15217
3625467,10
3626107,1
3674500,1
3676939,2
3708174,1713
3745679,8
3794252,2
3819258,4
3872651,184
3886455,50
3924727,3
3996022,2
4061865,3
4084043,9
4086345,1
4178657,928
4224802,2
4230056,1
4234838,1
4309400,4
4351258,1
4405653,2
4507166,2
4542637,2
4565356,3388
4625591,29
4669015,2
4685441,2
4713144,543
4781645,146
4845493,1
4873339,1
4878222,66
4963498,1162
4964134,803
5200072,5
5215546,1
5320411,6870
5338863,2
5394649,614
5442820,2
5496472,1
5517884,1
5526754,39
5528533,1
5690885,2
5723522,17
5730551,3
5732745,1
5734915,6
5748644,5
5802330,2
5921149,1
5922601,15840
6003330,314
6019161,1
6050019,9
6088144,3180
6107686,4
6108947,295
6206593,99
6267823,21
6288151,2
6334556,1
6367023,1
6400725,8906
6415048,2
6480243,981
6552891,182
6701658,3
6742380,1
6745092,2
6774165,1383
6839363,1
6900299,2
6945837,2
7016504,34
7061654,3
7066057,1752
7077735,1
7191237,1
7206823,1
7234182,11
7273120,12292
7330939,150
7363448,1
7483258,1
7592267,4
7599924,3971
7683246,1
7858094,3
7872498,4
7920377,8
7925270,3
7951367,2
8007319,1
8007928,1
8026944,1
8123256,116
8136358,1
8184655,1
8199620,4
8233358,10
8235558,1
8258513,9893
8269822,2
8286110,2
8387504,33392
8388945,1
8409712,1
8437544,3773
8491773,2
8573981,2
8591898,1
8639729,36280
8684028,2
8747959,19
8780873,3
8794188,3
8804972,1
8869284,1
8932221,3160
9058231,17724
9230731,2258
9233197,5
9347502,1
9448780,86
9491765,4
9555119,1
9575900,2800
9581922,14
9617498,2041
9702873,26
9716981,1
9739252,1
9884254,47
9884349,2
9953794,1
9987010,4
9990768,1
10041977,48
10116031,6329
10187212,2625
10317058,3
10361550,4
10426780,3
10535156,6
10612463,2
10741686,2
10750523,54
10760531,5
10778644,1
10779896,3
10805426,448
10836471,11
10869674,2
10888051,5
10902210,175
10918350,1
10952825,3
10959366,1437
10994365,11
11051443,22467
11094482,12
11098473,1284
11101246,1324
11135330,1673
11149528,1
11223357,3485
11302039,983
11355069,3
11542551,1
11559266,340
11683861,4
11711167,1
11791359,22311
11802588,1
11841851,2
11871692,1
11935983,1775
12028064,2
12089459,1
12218195,473
12245222,13436
12268804,11
12283276,1
12305385,162
12366962,1
12414308,3
12535646,1
12538665,8
12562847,4
12603078,11492
12623835,2
12646319,2
12676364,9398
12730253,137
12731400,6
12840727,7025
12858552,33
12960615,323
13020718,399
13028390,19
